BIC - Goal,BIC,F1 Score,Accuracy,Precision,Recall,SHD,SLF,TLF
1507.930211937506,8151.151087645643,0.12244897959183673,0.8868421052631579,0.125,0.12,43,0.12,0.24
1284.0265734172235,7927.247449125361,0.15384615384615383,0.8842105263157894,0.14814814814814814,0.16,44,0.16,0.24
1284.0265734172235,7927.247449125361,0.15384615384615383,0.8842105263157894,0.14814814814814814,0.16,44,0.16,0.24
1159.4505102618605,7802.671385969998,0.0851063829787234,0.8868421052631579,0.09090909090909091,0.08,43,0.08,0.24
1159.4505102618605,7802.671385969998,0.0851063829787234,0.8868421052631579,0.09090909090909091,0.08,43,0.08,0.24
1057.2076439251377,7700.428519633275,0.20000000000000004,0.8947368421052632,0.2,0.2,40,0.2,0.36
1057.2076439251377,7700.428519633275,0.20000000000000004,0.8947368421052632,0.2,0.2,40,0.2,0.36
998.1126338956274,7641.3335096037645,0.20833333333333331,0.9,0.21739130434782608,0.2,38,0.2,0.4
860.0473917851805,7503.268267493318,0.20833333333333331,0.9,0.21739130434782608,0.2,38,0.2,0.28
860.0473917851805,7503.268267493318,0.20833333333333331,0.9,0.21739130434782608,0.2,38,0.2,0.28
784.118053350684,7427.338929058821,0.24,0.9,0.24,0.24,38,0.24,0.36
752.4874331052742,7395.708308813411,0.0851063829787234,0.8868421052631579,0.09090909090909091,0.08,43,0.08,0.28
735.2296891404885,7378.450564848626,0.08333333333333333,0.8842105263157894,0.08695652173913043,0.08,44,0.08,0.32
645.3532964129427,7288.57417212108,0.24,0.9,0.24,0.24,38,0.24,0.36
645.3532964129427,7288.57417212108,0.24,0.9,0.24,0.24,38,0.24,0.36
558.5780362783707,7201.798911986508,0.2608695652173913,0.9105263157894737,0.2857142857142857,0.24,34,0.24,0.44
542.8890343110052,7186.109910019142,0.11764705882352941,0.881578947368421,0.11538461538461539,0.12,45,0.12,0.36
542.8890343110052,7186.109910019142,0.11764705882352941,0.881578947368421,0.11538461538461539,0.12,45,0.12,0.36
542.8890343110052,7186.109910019142,0.11764705882352941,0.881578947368421,0.11538461538461539,0.12,45,0.12,0.36
455.7909035148814,7099.0117792230185,0.391304347826087,0.9263157894736842,0.42857142857142855,0.36,28,0.36,0.44
455.7909035148814,7099.0117792230185,0.391304347826087,0.9263157894736842,0.42857142857142855,0.36,28,0.36,0.44
385.6764780082185,7028.897353716356,0.29787234042553196,0.9131578947368421,0.3181818181818182,0.28,33,0.28,0.48
374.85283577694736,7018.0737114850845,0.4255319148936171,0.9289473684210526,0.45454545454545453,0.4,27,0.4,0.48
374.85283577694736,7018.0737114850845,0.4255319148936171,0.9289473684210526,0.45454545454545453,0.4,27,0.4,0.48
314.3214377159766,6957.542313424114,0.2666666666666666,0.9131578947368421,0.3,0.24,33,0.24,0.44
279.662917914492,6922.883793622629,0.3333333333333333,0.9157894736842105,0.34782608695652173,0.32,32,0.32,0.44
279.662917914492,6922.883793622629,0.3333333333333333,0.9157894736842105,0.34782608695652173,0.32,32,0.32,0.44
240.18362221080315,6883.40449791894,0.29787234042553196,0.9131578947368421,0.3181818181818182,0.28,33,0.28,0.48
240.18362221080315,6883.40449791894,0.29787234042553196,0.9131578947368421,0.3181818181818182,0.28,33,0.28,0.48
220.4375817283717,6863.658457436509,0.2916666666666667,0.9105263157894737,0.30434782608695654,0.28,34,0.28,0.56
157.22489406960267,6800.44576977774,0.41666666666666663,0.9263157894736842,0.43478260869565216,0.4,28,0.4,0.52
157.22489406960267,6800.44576977774,0.41666666666666663,0.9263157894736842,0.43478260869565216,0.4,28,0.4,0.52
157.22489406960267,6800.44576977774,0.41666666666666663,0.9263157894736842,0.43478260869565216,0.4,28,0.4,0.52
131.88256949617062,6775.103445204308,0.4081632653061225,0.9236842105263158,0.4166666666666667,0.4,29,0.4,0.6
131.88256949617062,6775.103445204308,0.4081632653061225,0.9236842105263158,0.4166666666666667,0.4,29,0.4,0.6
131.88256949617062,6775.103445204308,0.4081632653061225,0.9236842105263158,0.4166666666666667,0.4,29,0.4,0.6
119.77685404314161,6762.997729751279,0.3829787234042554,0.9236842105263158,0.4090909090909091,0.36,29,0.36,0.56
108.44593258767964,6751.666808295817,0.41666666666666663,0.9263157894736842,0.43478260869565216,0.4,28,0.4,0.64
107.07886490537385,6750.299740613511,0.46808510638297873,0.9342105263157895,0.5,0.44,25,0.44,0.64
57.91972525292658,6701.140600961064,0.48888888888888893,0.9394736842105263,0.55,0.44,23,0.44,0.6
57.91972525292658,6701.140600961064,0.48888888888888893,0.9394736842105263,0.55,0.44,23,0.44,0.6
57.91972525292658,6701.140600961064,0.48888888888888893,0.9394736842105263,0.55,0.44,23,0.44,0.6
54.53857526772754,6697.759450975865,0.4999999999999999,0.9368421052631579,0.5217391304347826,0.48,24,0.48,0.68
10.468823582437835,6653.689699290575,0.5217391304347826,0.9421052631578948,0.5714285714285714,0.48,22,0.48,0.64
10.468823582437835,6653.689699290575,0.5217391304347826,0.9421052631578948,0.5714285714285714,0.48,22,0.48,0.64
-3.6620482330217783,6639.558827475115,0.5957446808510639,0.95,0.6363636363636364,0.56,19,0.56,0.72
